# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	2215
#@/user_id	stella
qnrc 	饭	c=1 d=0.0308074 t=2215
qnyj 	包裹	c=1 d=0.1764 t=2215
qq 	多	c=8 d=1.31895 t=2215
qqfq 	多元	c=1 d=0.657047 t=2215
qqnt 	金属	c=1 d=0.19205 t=2215
qqqq 	金	c=3 d=0.97531 t=2215
qt 	儿	c=5 d=0.388678 t=2215
qtqk 	狗	c=1 d=0.67032 t=2215
qvbc 	争取	c=1 d=0.818731 t=2215
qve 	银	c=2 d=1.98506 t=2215
qvwy 	雏	c=1 d=0.308819 t=2215
qwoa 	锻炼	c=1 d=0.621885 t=2215
r 	的	c=57 d=6.7224 t=2215
ra 	找	c=1 d=0.666977 t=2215
raq 	抠	c=1 d=0.790571 t=2215
rbtf 	报告	c=1 d=0.519442 t=2215
rcn 	把	c=5 d=1.43971 t=2215
rdj 	排	c=2 d=0.134751 t=2215
rffg 	挂	c=1 d=0.499074 t=2215
rfw 	扶	c=1 d=0.254107 t=2215
rg 	后	c=1 d=0.0383884 t=2215
rgdm 	后面	c=1 d=0.145148 t=2215
rges 	后腰	c=1 d=0.244143 t=2215
rggo 	后来	c=1 d=0.0939493 t=2215
rgpg 	皇室	c=1 d=0.0742736 t=2215
rguy 	后门	c=1 d=0.071719 t=2215
rh 	年	c=1 d=0.0430669 t=2215
rhf 	看	c=9 d=1.57013 t=2215
rhfp 	看过	c=1 d=0.771052 t=2215
rhgs 	年末	c=1 d=0.0439369 t=2215
rhj 	掉	c=1 d=0.214381 t=2215
rhmq 	看见	c=1 d=0.985112 t=2215
rhrh 	看看	c=2 d=0.172329 t=2215
rhud 	看着	c=1 d=0.105928 t=2215
rj 	提	c=2 d=1.59551 t=2215
rjsg 	提醒	c=1 d=0.055299 t=2215
rk 	扣	c=1 d=0.0566989 t=2215
rkg 	扣	c=1 d=0.0575558 t=2215
rlfc 	摆	c=1 d=0.00790705 t=2215
rm 	抽	c=1 d=0.377192 t=2215
rmn 	缺	c=2 d=0.0158268 t=2215
rn 	所	c=1 d=0.0238732 t=2215
rnf 	扭	c=4 d=0.7928 t=2215
rnfc 	扭动	c=1 d=0.213312 t=2215
rnpv 	氨	c=2 d=1.06785 t=2215
rprm 	控制	c=1 d=0.814647 t=2215
rqn 	抱	c=3 d=1.18424 t=2215
rqv 	掐	c=1 d=0.806541 t=2215
rreu 	折腾	c=1 d=0.680451 t=2215
rrg 	拍	c=2 d=0.0190653 t=2215
rrr 	白	c=1 d=0.932394 t=2215
rs 	打	c=2 d=0.199091 t=2215
rta 	托	c=1 d=0.366045 t=2215
rte 	搬	c=1 d=0.0464212 t=2215
rtf 	插	c=3 d=1.06653 t=2215
rtfp 	挺	c=1 d=0.161218 t=2215
rthf 	拃	c=1 d=0.0332068 t=2215
rtrv 	手势	c=2 d=0.0290545 t=2215
rtsm 	手机	c=1 d=0.559898 t=2215
rtth 	斤	c=1 d=0.631284 t=2215
ru ii 	拉水	c=-1 d=0 t=2215
ruii 	接水	c=1 d=0.0871609 t=2215
ruv 	接	c=1 d=0.0784731 t=2215
rv 	扫	c=3 d=0.0855085 t=2215
rvyo 	热	c=2 d=0.208045 t=2215
rxud 	指头	c=1 d=0.774916 t=2215
rymn 	抗	c=1 d=0.99005 t=2215
s 	要	c=11 d=2.47536 t=2215
sagg 	框	c=1 d=0.0217096 t=2215
sb 	李	c=7 d=2.54067 t=2215
sdm 	顶	c=1 d=0.22313 t=2215
sfg 	杜	c=1 d=0.88692 t=2215
sfhg 	植	c=2 d=1.68353 t=2215
sfi 	标	c=2 d=0.877257 t=2215
sfje 	标明	c=1 d=0.418952 t=2215
sg 	本	c=1 d=0.600496 t=2215
sgaj 	醋	c=1 d=0.955997 t=2215
sgbb 	杯子	c=1 d=0.18452 t=2215
sghg 	西	c=1 d=0.995012 t=2215
sgjg 	醒	c=1 d=0.467666 t=2215
sgtu 	本科	c=1 d=0.337902 t=2215
shiv 	相当	c=2 d=1.42105 t=2215
